delivery or takeout,Grubhub enabled,Call To Action enabled,Request a Quote Enabled,Covid Banner,Temporary Closed Until,stars,review_count,is_closed_2021,curbside_drop_off_during_covid_19,takeout_during_covid_19,drive_thru_during_covid_19,delivery_during_covid_19,mobile_services_during_covid_19
True,False,False,False,False,False,4.0,12,False,False,False,False,False,False
True,False,True,False,False,False,1.0,5,False,False,False,False,False,False
True,False,False,False,False,False,3.5,13,False,False,False,False,False,False
True,False,True,False,False,False,4.0,5,False,False,False,False,False,False
True,False,True,False,False,False,3.0,12,False,False,False,False,False,False
True,False,False,False,False,False,4.0,4,False,False,False,False,False,False
True,False,True,False,False,False,3.0,14,True,False,False,False,False,False
True,False,False,False,False,False,4.0,4,False,False,False,False,False,False
True,False,True,False,False,False,2.5,23,False,False,False,False,False,False
True,False,False,False,False,False,1.0,3,True,False,False,False,False,False
True,True,False,False,False,False,1.5,11,True,False,False,False,False,False
True,False,True,False,False,False,3.5,8,False,False,False,False,False,False
True,True,True,False,False,False,1.5,17,True,False,False,False,False,False
True,True,True,False,False,False,3.0,3,False,False,False,False,False,False
True,False,True,False,False,False,2.0,9,False,False,False,False,False,False
True,False,True,False,False,False,2.5,14,False,False,False,False,False,False
True,True,True,False,False,False,3.0,8,False,False,False,False,False,False
True,False,True,False,False,False,3.5,15,False,False,True,False,True,False
True,False,False,False,False,False,2.0,8,False,False,False,False,False,False
True,False,False,False,False,False,3.0,5,False,False,False,False,False,False
True,True,True,False,False,False,1.5,7,False,False,False,False,False,False
False,False,True,False,False,False,3.0,4,False,False,False,False,False,False
True,False,False,False,False,False,2.0,9,False,False,False,False,False,False
True,True,True,False,False,False,1.5,18,False,False,False,False,False,False
True,False,True,False,False,False,4.5,225,False,False,False,False,False,False
True,True,True,False,False,False,3.0,31,False,False,False,False,False,False
True,True,True,False,False,False,2.0,4,False,False,True,False,False,False
True,False,True,False,False,False,2.5,5,False,False,False,False,False,False
True,False,True,False,True,False,4.0,15,False,False,True,True,False,False
True,False,True,False,False,False,1.5,37,False,False,False,False,False,False
True,False,False,False,False,False,3.0,3,False,False,False,False,False,False
True,False,True,False,False,False,2.0,8,False,False,False,False,False,False
True,False,False,False,False,False,3.0,90,False,False,False,False,False,False
True,True,False,False,False,False,3.5,19,False,False,False,False,False,False
True,True,True,False,True,False,3.0,11,False,False,False,True,True,False
True,True,True,False,True,False,2.5,40,False,False,False,False,False,False
True,True,True,False,True,False,2.0,18,False,False,True,False,True,False
True,False,True,False,False,False,3.5,100,False,False,False,False,False,False
True,False,True,False,False,False,2.5,28,False,False,False,False,False,False
True,False,True,False,True,False,3.0,9,False,False,False,False,False,False
True,False,True,False,False,False,2.5,24,False,False,False,False,False,False
True,False,False,False,False,False,2.5,31,False,False,False,False,False,False
True,True,False,False,False,False,1.5,10,True,False,False,False,False,False
True,False,True,False,False,False,3.0,55,False,False,False,False,False,False
True,True,True,False,True,False,3.0,12,False,False,False,True,True,False
True,True,True,False,True,False,2.5,23,False,False,False,True,True,False
True,False,False,False,False,False,4.5,12,False,False,False,False,False,False
True,True,False,False,False,False,3.0,155,False,False,False,False,False,False
True,True,True,False,False,False,3.0,4,False,False,True,False,False,False
True,False,True,False,False,False,2.0,105,False,False,False,False,False,False
True,True,True,False,False,False,2.5,37,False,False,False,False,False,False
True,True,True,False,False,False,3.0,82,False,False,True,False,True,False
True,False,True,False,False,False,2.5,28,False,False,False,False,False,False
True,True,False,False,False,False,1.5,65,False,False,False,False,False,False
True,False,True,False,True,False,2.5,19,False,False,True,False,True,False
True,True,False,False,False,False,2.5,139,False,False,False,False,False,False
True,False,False,False,False,False,4.0,89,False,False,False,False,False,False
True,False,False,False,False,False,3.5,64,True,False,False,False,False,False
True,False,True,False,False,False,3.0,38,False,False,False,False,False,False
True,False,True,False,False,False,2.5,29,False,False,False,False,False,False
True,False,True,False,False,False,2.0,13,False,False,False,False,False,False
True,False,True,False,False,False,2.0,5,True,False,True,False,False,False
True,True,True,False,True,False,2.0,24,False,False,False,True,True,False
True,False,True,False,False,False,4.0,7,False,False,False,False,False,False
True,False,True,False,False,False,2.0,15,False,False,False,False,False,False
True,False,False,False,False,False,4.0,10,False,False,False,False,False,False
True,True,False,False,False,False,2.0,29,False,False,False,False,False,False
True,False,True,False,False,False,3.0,16,False,False,False,False,False,False
True,True,True,False,False,False,2.5,6,False,False,True,False,False,False
True,True,True,False,False,False,1.5,14,False,False,False,False,False,False
True,False,False,False,False,False,3.5,7,False,False,False,False,False,False
True,False,True,False,False,False,3.0,8,False,False,False,False,False,False
True,True,True,False,True,False,2.5,19,False,False,False,True,True,False
False,False,True,False,False,False,1.5,3,False,False,False,False,False,False
True,False,True,False,False,False,2.0,51,False,False,False,False,False,False
True,True,True,False,False,False,3.0,16,False,False,False,False,False,False
True,True,True,False,False,False,3.0,85,False,False,True,False,True,False
True,False,True,False,False,False,2.5,41,False,False,False,False,False,False
True,False,False,False,False,False,5.0,4,False,False,False,False,False,False
True,False,False,False,False,False,3.5,5,False,False,False,False,False,False
True,False,True,False,False,False,4.5,6,False,False,False,False,False,False
True,False,True,False,False,False,2.0,8,False,False,False,False,False,False
True,False,False,False,False,False,1.5,28,False,False,False,False,False,False
True,False,False,False,False,False,3.0,4,False,False,False,False,False,False
True,False,False,False,False,False,4.0,6,False,False,False,False,False,False
False,False,False,False,False,False,3.5,5,False,False,False,False,False,False
False,False,False,False,False,False,4.5,4,False,False,False,False,False,False
True,False,False,False,False,False,3.5,11,False,False,False,False,False,False
True,False,True,False,True,False,2.0,24,False,False,False,False,False,False
True,True,True,False,False,False,1.5,6,True,False,True,False,False,False
True,False,False,False,False,False,4.0,4,False,False,False,False,False,False
True,False,False,False,False,False,3.5,28,False,False,False,False,False,False
True,False,False,False,False,False,3.0,10,False,False,False,False,False,False
